SubjTrial,SubjectID,ExpNum,ItemNum,Response,TargetWord,TrialType,Syllogism,ListNum,premise1,premise2,conclusion,loadtime,digitMatch,RT,SyllogismSimple,ExpectedResponse,ResponseWasCorrect,excl.subj,excl.trial
12_19,12,Pilot-3,19,1,spices,Invalid Filler,Dimatis*,1,Some dried roots are spices ,All mustard seeds are spices ,Some mustard seeds are dried roots,1000,NA,12246,Dimatis,0,0,0,0
12_20,12,Pilot-3,20,1,lunches,Polysemy,Darii,1,All lunches are less than three hours long,Some sandwiches are lunches,Some sandwiches are less than three hours long,1000,NA,13832,Darii,0,0,0,0
12_21,12,Pilot-3,21,1,admissions,Homonymy,Barbara,1,All guilty pleas are admissions,All admissions are ticketed,All guilty pleas are ticketed,1000,NA,7038,Barbara,0,0,0,0
12_22,12,Pilot-3,22,1,suitcases,Valid Filler,Dimatis,1,Some bags are suitcases,All suitcases are pieces of luggage,Some pieces of luggage are bags,1000,NA,13795,Dimatis,1,1,0,0
12_23,12,Pilot-3,23,1,peppers,Invalid Filler,Dimatis*,1,Some yellow vegetables are peppers ,All jalapenos are peppers,Some jalapenos are yellow vegetables,1000,NA,6829,Dimatis,0,0,0,0
12_24,12,Pilot-3,24,1,colors,Invalid Filler,Disamis*,1,Some colors are primary ,All shades of purple are colors ,Some shades of purple are primary,1000,NA,7087,Disamis,0,0,0,0
12_25,12,Pilot-3,25,1,examinations,Polysemy,Disamis,1,Some examinations are life saving,All examinations are graded assignments,Some graded assignments are life saving,1000,NA,7107,Disamis,0,0,0,0
12_26,12,Pilot-3,26,1,tapes,Homonymy,Darii,1,All tapes are recordings,Some adhesives are tapes,Some adhesives are recordings,1000,NA,25407,Darii,0,0,0,0
12_27,12,Pilot-3,27,1,dinosaurs,Valid Filler,Barbara,1,All dinosaurs were reptiles,All pterodactyls are dinosaurs,All pterodactyls were reptiles ,1000,NA,8455,Barbara,1,1,0,0
12_28,12,Pilot-3,28,1,phones,Valid Filler,Barbara,1,All phones can make calls ,All iPhones are phones ,All iPhones can make calls ,1000,NA,6924,Barbara,1,1,0,0
12_29,12,Pilot-3,29,1,newspapers,Polysemy,Dimatis,1,Some recyclables are newspapers,All newspapers employ reporters,Some recyclables employ reporters,1000,NA,6966,Dimatis,0,0,0,0
12_30,12,Pilot-3,30,1,buildings,Invalid Filler,Barbara*,1,All hotels are buildings ,All hospitals are buildings ,All hospitals are hotels ,1000,NA,7041,Barbara,0,0,0,0
12_31,12,Pilot-3,31,0,dates,Homonymy,Disamis,1,Some dates are prime numbers,All dates are opportunities for romance,Some opportunities for romance are prime numbers,1000,NA,7090,Disamis,0,1,0,0
12_32,12,Pilot-3,32,1,grapes,Valid Filler,Disamis,1,Some grapes are red ,All grapes are fruits ,Some fruits are red ,1000,NA,7389,Disamis,1,1,0,0
12_33,12,Pilot-3,33,0,swords,Valid Filler,Disamis,1,Some swords are decorative,All swords are weapons ,Some weapons are decorative ,1000,NA,6925,Disamis,1,0,0,0
12_34,12,Pilot-3,34,0,ponies,Valid Filler,Datisi,1,All ponies neigh,Some ponies are colts,Some colts neigh,1000,NA,6762,Datisi,1,0,0,0
12_35,12,Pilot-3,35,1,statues,Valid Filler,Datisi,1,All statues are sculptures,Some statues are bronzes,Some bronzes are sculptures,1000,NA,6650,Datisi,1,1,0,0
12_36,12,Pilot-3,36,1,widows,Valid Filler,Dimatis,1,Some mothers are widows ,All widows are women,Some women are mothers,1000,NA,10962,Dimatis,1,1,0,0
12_37,12,Pilot-3,37,0,steaks,Invalid Filler,Disamis*,1,Some steaks are filet mignons,All ribeyes are steaks,Some ribeyes are filet mignons,1000,NA,6773,Disamis,0,1,0,0
12_38,12,Pilot-3,38,1,clowns,Valid Filler,Darii,1,All clowns can juggle ,Some circus performers are clowns ,Some circus performers can juggle,1000,NA,7024,Darii,1,1,0,0
12_39,12,Pilot-3,39,1,injuries,Invalid Filler,Dimatis*,1,Some sunburns are injuries,All cases of frostbite are injuries,Some cases of frostbite are sunburns,1000,NA,7724,Dimatis,0,0,0,0
12_40,12,Pilot-3,40,1,thieves,Invalid Filler,Dimatis*,1,Some children are thieves,All mob bosses are thieves,Some mob bosses are children,1000,NA,18921,Dimatis,0,0,0,0
12_41,12,Pilot-3,41,0,tracks,Homonymy,Darii,1,All tracks are prints left by animals,Some race courses are tracks ,Some race courses are prints left by animals,1000,NA,9896,Darii,0,1,0,0
12_42,12,Pilot-3,42,0,stones,Invalid Filler,Datisi*,1,All pebbles are stones,Some stones are boulders,Some boulders are pebbles,1000,NA,7819,Datisi,0,1,0,0
12_43,12,Pilot-3,43,1,columns,Homonymy,Datisi,1,All columns are architectural,Some columns are gossip articles,Some gossip articles are architectural,1000,NA,11040,Datisi,0,0,0,0
12_44,12,Pilot-3,44,1,movements,Homonymy,Barbara,1,All movements aim for social change,All reflexes are movements,All reflexes aim for social change,1000,NA,9846,Barbara,0,0,0,0
12_45,12,Pilot-3,45,0,organs,Invalid Filler,Barbara*,1,All hearts are organs ,All lungs are organs ,All lungs are hearts,1000,NA,6720,Barbara,0,1,0,0
12_46,12,Pilot-3,46,0,actors,Invalid Filler,Datisi*,1,All male leads are actors,Some actors are women,Some women are male leads,1000,NA,10432,Datisi,0,1,0,0
12_47,12,Pilot-3,47,0,magazines,Polysemy,Darii,1,All magazines are flammable,Some subscriptions are magazines,Some subscriptions are flammable,1000,NA,8940,Darii,0,1,0,0
12_48,12,Pilot-3,48,1,liars,Valid Filler,Dimatis,1,Some criminals are liars ,All liars are humans,Some humans are criminals ,1000,NA,6553,Dimatis,1,1,0,0
12_49,12,Pilot-3,49,0,classes,Polysemy,Disamis,1,Some classes are an hour long,All classes are groups of students,Some groups of students are an hour long,1000,NA,7435,Disamis,0,1,0,0
12_50,12,Pilot-3,50,1,negotiations,Valid Filler,Barbara,1,All negotiations aim to reach agreement  ,All union bargainings are negotiations ,All union bargainings aim to reach agreement,1000,NA,6832,Barbara,1,1,0,0
12_51,12,Pilot-3,51,1,antiques,Invalid Filler,Darii*,1,All medieval manuscripts are antiques ,Some pieces of jewelry are antiques ,Some pieces of jewelry are medieval manuscripts,1000,NA,6920,Darii,0,0,0,0
12_52,12,Pilot-3,52,0,books,Polysemy,Dimatis,1,Some doorstops are books,All books are intellectual property,Some intellectual property is a doorstop,1000,NA,6691,Dimatis,0,1,0,0
12_53,12,Pilot-3,53,1,dances,Invalid Filler,Darii*,1,All polkas are dances ,Some mating rituals are dances ,Some mating rituals are polkas ,1000,NA,13163,Darii,0,0,0,0
12_54,12,Pilot-3,54,1,shapes,Invalid Filler,Disamis*,1,Some shapes are triangles,All squares are shapes,Some squares are triangles,1000,NA,7466,Disamis,0,0,0,0
12_55,12,Pilot-3,55,1,sausages,Invalid Filler,Datisi*,1,All hot dogs are sausages,Some sausages are salamis,Some hot dogs are salamis,1000,NA,7033,Datisi,0,0,0,0
12_56,12,Pilot-3,56,0,funerals,Invalid Filler,Datisi*,1,All open-casket services are funerals,Some funerals are cremations,Some cremations are open-casket services,1000,NA,7002,Datisi,0,1,0,0
12_57,12,Pilot-3,57,1,singers,Valid Filler,Darii,1,All singers have an ideal vocal range ,Some guitarists are singers,Some guitarists have an ideal vocal range,1000,NA,6878,Darii,1,1,0,0
12_58,12,Pilot-3,58,0,mothers,Invalid Filler,Darii*,1,All grandmothers are mothers ,Some teens are mothers,Some grandmothers are teens,1000,NA,7008,Darii,0,1,0,0
12_59,12,Pilot-3,59,1,clocks,Invalid Filler,Barbara*,1,All watches are clocks ,All sundials are clocks ,All watches are sundials ,1000,NA,7335,Barbara,0,0,0,0
12_60,12,Pilot-3,60,1,drivers,Invalid Filler,Barbara*,1,All long-haul truckers are drivers,All chauffeurs are drivers,All chauffeurs are long-haul truckers ,1000,NA,7096,Barbara,0,0,0,0
13_1,13,Pilot-3,1,1,mugs,Valid Filler,Datisi,1,All mugs are cups ,Some mugs are ceramics,Some ceramics are cups ,1750,NA,10568,Datisi,1,1,0,0
13_2,13,Pilot-3,2,1,burgers,Valid Filler,Disamis,1,Some burgers are overcooked ,All burgers are sandwiches,Some sandwiches are overcooked ,1750,NA,9834,Disamis,1,1,0,0
13_3,13,Pilot-3,3,1,dresses,Invalid Filler,Darii*,1,All ball gowns are dresses ,Some cocktail outfits are dresses,Some cocktail outfits are ball gowns,1750,NA,10184,Darii,0,0,0,0
13_4,13,Pilot-3,4,1,trucks,Valid Filler,Dimatis,1,Some cars are trucks ,All trucks are vehicles,Some vehicles are cars ,1750,NA,10735,Dimatis,1,1,0,0
13_5,13,Pilot-3,5,1,poets,Valid Filler,Datisi,1,All poets are writers ,Some poets are teachers,Some teachers are writers,1750,NA,10330,Datisi,1,1,0,0
13_6,13,Pilot-3,6,1,doughnuts,Valid Filler,Darii,1,All doughnuts are sugary ,Some pastries are doughnuts ,Some pastries are sugary,1750,NA,10222,Darii,1,1,0,0
13_7,13,Pilot-3,7,1,dolls,Valid Filler,Darii,1,All dolls are man made,Some toys are dolls ,Some toys are man made,1750,NA,10096,Darii,1,1,0,0
13_8,13,Pilot-3,8,0,arms,Homonymy,Disamis,1,Some arms are high caliber,All arms have elbows,Some elbows are high caliber,1750,NA,9715,Disamis,0,1,0,0
13_9,13,Pilot-3,9,0,toilets,Invalid Filler,Disamis*,1,Some toilets are coed,All urinals are toilets,Some urinals are coed,1750,NA,13350,Disamis,0,1,0,0
13_10,13,Pilot-3,10,0,dinners,Polysemy,Barbara,1,All dinners are after lunch,All Thanksgiving turkeys are dinners,All Thanksgiving turkeys are after lunch,1750,NA,14324,Barbara,0,1,0,0
13_11,13,Pilot-3,11,1,rifles,Valid Filler,Disamis,1,Some rifles are for hunting,All rifles are guns ,Some guns are for hunting,1750,NA,10200,Disamis,1,1,0,0
13_12,13,Pilot-3,12,0,chickens,Polysemy,Datisi,1,All chickens lay eggs,Some chickens are roasts,Some roasts lay eggs,1750,NA,12301,Datisi,0,1,0,0
13_13,13,Pilot-3,13,0,boards,Homonymy,Dimatis,1,Some committees are boards,All boards are rectangles,Some rectangles are committees,1750,NA,10844,Dimatis,0,1,0,0
13_14,13,Pilot-3,14,0,foundations,Homonymy,Dimatis,1,Some concrete slabs are foundations,All foundations are non-profits,Some non-profits are concrete slabs,1750,NA,10176,Dimatis,0,1,0,0
13_15,13,Pilot-3,15,0,panels,Homonymy,Datisi,1,All panels have judges,Some panels are electronics,Some electronics have judges,1750,NA,10182,Datisi,0,1,0,0
13_16,13,Pilot-3,16,1,oil,Polysemy,Datisi,1,All oil is extracted from the earth,Some oil is saturated fat,Some saturated fat is extracted from the earth,1750,NA,16120,Datisi,0,0,0,0
13_17,13,Pilot-3,17,0,dreams,Polysemy,Barbara,1,All dreams are goals,All nightmares are dreams,All nightmares are goals,1750,NA,10286,Barbara,0,1,0,0
13_18,13,Pilot-3,18,1,whales,Valid Filler,Barbara,1,All whales are mammals ,All orcas are whales ,All orcas are mammals,1750,NA,10327,Barbara,1,1,0,0
13_19,13,Pilot-3,19,0,spices,Invalid Filler,Dimatis*,1,Some dried roots are spices ,All mustard seeds are spices ,Some mustard seeds are dried roots,1750,NA,10691,Dimatis,0,1,0,0
13_20,13,Pilot-3,20,0,lunches,Polysemy,Darii,1,All lunches are less than three hours long,Some sandwiches are lunches,Some sandwiches are less than three hours long,1750,NA,10019,Darii,0,1,0,0
13_21,13,Pilot-3,21,0,admissions,Homonymy,Barbara,1,All guilty pleas are admissions,All admissions are ticketed,All guilty pleas are ticketed,1750,NA,10621,Barbara,0,1,0,0
13_22,13,Pilot-3,22,0,suitcases,Valid Filler,Dimatis,1,Some bags are suitcases,All suitcases are pieces of luggage,Some pieces of luggage are bags,1750,NA,13419,Dimatis,1,0,0,0
13_23,13,Pilot-3,23,1,peppers,Invalid Filler,Dimatis*,1,Some yellow vegetables are peppers ,All jalapenos are peppers,Some jalapenos are yellow vegetables,1750,NA,10763,Dimatis,0,0,0,0
13_24,13,Pilot-3,24,0,colors,Invalid Filler,Disamis*,1,Some colors are primary ,All shades of purple are colors ,Some shades of purple are primary,1750,NA,9751,Disamis,0,1,0,0
13_25,13,Pilot-3,25,0,examinations,Polysemy,Disamis,1,Some examinations are life saving,All examinations are graded assignments,Some graded assignments are life saving,1750,NA,9665,Disamis,0,1,0,0
13_26,13,Pilot-3,26,0,tapes,Homonymy,Darii,1,All tapes are recordings,Some adhesives are tapes,Some adhesives are recordings,1750,NA,9895,Darii,0,1,0,0
13_27,13,Pilot-3,27,1,dinosaurs,Valid Filler,Barbara,1,All dinosaurs were reptiles,All pterodactyls are dinosaurs,All pterodactyls were reptiles ,1750,NA,10606,Barbara,1,1,0,0
13_28,13,Pilot-3,28,1,phones,Valid Filler,Barbara,1,All phones can make calls ,All iPhones are phones ,All iPhones can make calls ,1750,NA,10078,Barbara,1,1,0,0
13_29,13,Pilot-3,29,0,newspapers,Polysemy,Dimatis,1,Some recyclables are newspapers,All newspapers employ reporters,Some recyclables employ reporters,1750,NA,9584,Dimatis,0,1,0,0
13_30,13,Pilot-3,30,0,buildings,Invalid Filler,Barbara*,1,All hotels are buildings ,All hospitals are buildings ,All hospitals are hotels ,1750,NA,10071,Barbara,0,1,0,0
13_31,13,Pilot-3,31,0,dates,Homonymy,Disamis,1,Some dates are prime numbers,All dates are opportunities for romance,Some opportunities for romance are prime numbers,1750,NA,10274,Disamis,0,1,0,0
13_32,13,Pilot-3,32,0,grapes,Valid Filler,Disamis,1,Some grapes are red ,All grapes are fruits ,Some fruits are red ,1750,NA,10349,Disamis,1,0,0,0
13_33,13,Pilot-3,33,0,swords,Valid Filler,Disamis,1,Some swords are decorative,All swords are weapons ,Some weapons are decorative ,1750,NA,13085,Disamis,1,0,0,0
13_34,13,Pilot-3,34,1,ponies,Valid Filler,Datisi,1,All ponies neigh,Some ponies are colts,Some colts neigh,1750,NA,11382,Datisi,1,1,0,0
13_35,13,Pilot-3,35,1,statues,Valid Filler,Datisi,1,All statues are sculptures,Some statues are bronzes,Some bronzes are sculptures,1750,NA,10237,Datisi,1,1,0,0
13_36,13,Pilot-3,36,0,widows,Valid Filler,Dimatis,1,Some mothers are widows ,All widows are women,Some women are mothers,1750,NA,10771,Dimatis,1,0,0,0
13_37,13,Pilot-3,37,0,steaks,Invalid Filler,Disamis*,1,Some steaks are filet mignons,All ribeyes are steaks,Some ribeyes are filet mignons,1750,NA,9633,Disamis,0,1,0,0
13_38,13,Pilot-3,38,1,clowns,Valid Filler,Darii,1,All clowns can juggle ,Some circus performers are clowns ,Some circus performers can juggle,1750,NA,10395,Darii,1,1,0,0
13_39,13,Pilot-3,39,0,injuries,Invalid Filler,Dimatis*,1,Some sunburns are injuries,All cases of frostbite are injuries,Some cases of frostbite are sunburns,1750,NA,9555,Dimatis,0,1,0,0
13_40,13,Pilot-3,40,0,thieves,Invalid Filler,Dimatis*,1,Some children are thieves,All mob bosses are thieves,Some mob bosses are children,1750,NA,9438,Dimatis,0,1,0,0
13_41,13,Pilot-3,41,0,tracks,Homonymy,Darii,1,All tracks are prints left by animals,Some race courses are tracks ,Some race courses are prints left by animals,1750,NA,12016,Darii,0,1,0,0
13_42,13,Pilot-3,42,0,stones,Invalid Filler,Datisi*,1,All pebbles are stones,Some stones are boulders,Some boulders are pebbles,1750,NA,9921,Datisi,0,1,0,0
13_43,13,Pilot-3,43,0,columns,Homonymy,Datisi,1,All columns are architectural,Some columns are gossip articles,Some gossip articles are architectural,1750,NA,9611,Datisi,0,1,0,0
13_44,13,Pilot-3,44,0,movements,Homonymy,Barbara,1,All movements aim for social change,All reflexes are movements,All reflexes aim for social change,1750,NA,9871,Barbara,0,1,0,0
13_45,13,Pilot-3,45,0,organs,Invalid Filler,Barbara*,1,All hearts are organs ,All lungs are organs ,All lungs are hearts,1750,NA,9376,Barbara,0,1,0,0
13_46,13,Pilot-3,46,0,actors,Invalid Filler,Datisi*,1,All male leads are actors,Some actors are women,Some women are male leads,1750,NA,9599,Datisi,0,1,0,0
13_47,13,Pilot-3,47,0,magazines,Polysemy,Darii,1,All magazines are flammable,Some subscriptions are magazines,Some subscriptions are flammable,1750,NA,9908,Darii,0,1,0,0
13_48,13,Pilot-3,48,1,liars,Valid Filler,Dimatis,1,Some criminals are liars ,All liars are humans,Some humans are criminals ,1750,NA,9891,Dimatis,1,1,0,0
13_49,13,Pilot-3,49,0,classes,Polysemy,Disamis,1,Some classes are an hour long,All classes are groups of students,Some groups of students are an hour long,1750,NA,9400,Disamis,0,1,0,0
13_50,13,Pilot-3,50,1,negotiations,Valid Filler,Barbara,1,All negotiations aim to reach agreement  ,All union bargainings are negotiations ,All union bargainings aim to reach agreement,1750,NA,10795,Barbara,1,1,0,0
13_51,13,Pilot-3,51,0,antiques,Invalid Filler,Darii*,1,All medieval manuscripts are antiques ,Some pieces of jewelry are antiques ,Some pieces of jewelry are medieval manuscripts,1750,NA,9313,Darii,0,1,0,0
13_52,13,Pilot-3,52,0,books,Polysemy,Dimatis,1,Some doorstops are books,All books are intellectual property,Some intellectual property is a doorstop,1750,NA,10856,Dimatis,0,1,0,0
13_53,13,Pilot-3,53,0,dances,Invalid Filler,Darii*,1,All polkas are dances ,Some mating rituals are dances ,Some mating rituals are polkas ,1750,NA,10250,Darii,0,1,0,0
13_54,13,Pilot-3,54,0,shapes,Invalid Filler,Disamis*,1,Some shapes are triangles,All squares are shapes,Some squares are triangles,1750,NA,9589,Disamis,0,1,0,0
13_55,13,Pilot-3,55,0,sausages,Invalid Filler,Datisi*,1,All hot dogs are sausages,Some sausages are salamis,Some hot dogs are salamis,1750,NA,9587,Datisi,0,1,0,0
13_56,13,Pilot-3,56,0,funerals,Invalid Filler,Datisi*,1,All open-casket services are funerals,Some funerals are cremations,Some cremations are open-casket services,1750,NA,12099,Datisi,0,1,0,0
13_57,13,Pilot-3,57,1,singers,Valid Filler,Darii,1,All singers have an ideal vocal range ,Some guitarists are singers,Some guitarists have an ideal vocal range,1750,NA,10775,Darii,1,1,0,0
13_58,13,Pilot-3,58,0,mothers,Invalid Filler,Darii*,1,All grandmothers are mothers ,Some teens are mothers,Some grandmothers are teens,1750,NA,9718,Darii,0,1,0,0
13_59,13,Pilot-3,59,0,clocks,Invalid Filler,Barbara*,1,All watches are clocks ,All sundials are clocks ,All watches are sundials ,1750,NA,9271,Barbara,0,1,0,0
13_60,13,Pilot-3,60,0,drivers,Invalid Filler,Barbara*,1,All long-haul truckers are drivers,All chauffeurs are drivers,All chauffeurs are long-haul truckers ,1750,NA,9591,Barbara,0,1,0,0
14_1,14,Pilot-3,1,1,mugs,Valid Filler,Datisi,1,All mugs are cups ,Some mugs are ceramics,Some ceramics are cups ,1500,NA,8106,Datisi,1,1,0,0
14_2,14,Pilot-3,2,1,burgers,Valid Filler,Disamis,1,Some burgers are overcooked ,All burgers are sandwiches,Some sandwiches are overcooked ,1500,NA,7811,Disamis,1,1,0,0
14_3,14,Pilot-3,3,0,dresses,Invalid Filler,Darii*,1,All ball gowns are dresses ,Some cocktail outfits are dresses,Some cocktail outfits are ball gowns,1500,NA,10896,Darii,0,1,0,0
14_4,14,Pilot-3,4,1,trucks,Valid Filler,Dimatis,1,Some cars are trucks ,All trucks are vehicles,Some vehicles are cars ,1500,NA,7842,Dimatis,1,1,0,0
14_5,14,Pilot-3,5,1,poets,Valid Filler,Datisi,1,All poets are writers ,Some poets are teachers,Some teachers are writers,1500,NA,8163,Datisi,1,1,0,0
14_6,14,Pilot-3,6,1,doughnuts,Valid Filler,Darii,1,All doughnuts are sugary ,Some pastries are doughnuts ,Some pastries are sugary,1500,NA,7766,Darii,1,1,0,0
14_7,14,Pilot-3,7,1,dolls,Valid Filler,Darii,1,All dolls are man made,Some toys are dolls ,Some toys are man made,1500,NA,7754,Darii,1,1,0,0
14_8,14,Pilot-3,8,1,arms,Homonymy,Disamis,1,Some arms are high caliber,All arms have elbows,Some elbows are high caliber,1500,NA,11015,Disamis,0,0,0,0
14_9,14,Pilot-3,9,1,toilets,Invalid Filler,Disamis*,1,Some toilets are coed,All urinals are toilets,Some urinals are coed,1500,NA,8171,Disamis,0,0,0,0
14_10,14,Pilot-3,10,0,dinners,Polysemy,Barbara,1,All dinners are after lunch,All Thanksgiving turkeys are dinners,All Thanksgiving turkeys are after lunch,1500,NA,10246,Barbara,0,1,0,0
14_11,14,Pilot-3,11,1,rifles,Valid Filler,Disamis,1,Some rifles are for hunting,All rifles are guns ,Some guns are for hunting,1500,NA,7962,Disamis,1,1,0,0
14_12,14,Pilot-3,12,0,chickens,Polysemy,Datisi,1,All chickens lay eggs,Some chickens are roasts,Some roasts lay eggs,1500,NA,14606,Datisi,0,1,0,0
14_13,14,Pilot-3,13,0,boards,Homonymy,Dimatis,1,Some committees are boards,All boards are rectangles,Some rectangles are committees,1500,NA,8537,Dimatis,0,1,0,0
14_14,14,Pilot-3,14,0,foundations,Homonymy,Dimatis,1,Some concrete slabs are foundations,All foundations are non-profits,Some non-profits are concrete slabs,1500,NA,8671,Dimatis,0,1,0,0
14_15,14,Pilot-3,15,0,panels,Homonymy,Datisi,1,All panels have judges,Some panels are electronics,Some electronics have judges,1500,NA,7889,Datisi,0,1,0,0
14_16,14,Pilot-3,16,1,oil,Polysemy,Datisi,1,All oil is extracted from the earth,Some oil is saturated fat,Some saturated fat is extracted from the earth,1500,NA,8966,Datisi,0,0,0,0
14_17,14,Pilot-3,17,0,dreams,Polysemy,Barbara,1,All dreams are goals,All nightmares are dreams,All nightmares are goals,1500,NA,8476,Barbara,0,1,0,0
14_18,14,Pilot-3,18,1,whales,Valid Filler,Barbara,1,All whales are mammals ,All orcas are whales ,All orcas are mammals,1500,NA,9248,Barbara,1,1,0,0
14_19,14,Pilot-3,19,1,spices,Invalid Filler,Dimatis*,1,Some dried roots are spices ,All mustard seeds are spices ,Some mustard seeds are dried roots,1500,NA,9101,Dimatis,0,0,0,0
14_20,14,Pilot-3,20,1,lunches,Polysemy,Darii,1,All lunches are less than three hours long,Some sandwiches are lunches,Some sandwiches are less than three hours long,1500,NA,9349,Darii,0,0,0,0
14_21,14,Pilot-3,21,0,admissions,Homonymy,Barbara,1,All guilty pleas are admissions,All admissions are ticketed,All guilty pleas are ticketed,1500,NA,8882,Barbara,0,1,0,0
14_22,14,Pilot-3,22,1,suitcases,Valid Filler,Dimatis,1,Some bags are suitcases,All suitcases are pieces of luggage,Some pieces of luggage are bags,1500,NA,8404,Dimatis,1,1,0,0
14_23,14,Pilot-3,23,1,peppers,Invalid Filler,Dimatis*,1,Some yellow vegetables are peppers ,All jalapenos are peppers,Some jalapenos are yellow vegetables,1500,NA,7866,Dimatis,0,0,0,0
14_24,14,Pilot-3,24,0,colors,Invalid Filler,Disamis*,1,Some colors are primary ,All shades of purple are colors ,Some shades of purple are primary,1500,NA,9037,Disamis,0,1,0,0
14_25,14,Pilot-3,25,1,examinations,Polysemy,Disamis,1,Some examinations are life saving,All examinations are graded assignments,Some graded assignments are life saving,1500,NA,8258,Disamis,0,0,0,0
14_26,14,Pilot-3,26,0,tapes,Homonymy,Darii,1,All tapes are recordings,Some adhesives are tapes,Some adhesives are recordings,1500,NA,9122,Darii,0,1,0,0
14_27,14,Pilot-3,27,1,dinosaurs,Valid Filler,Barbara,1,All dinosaurs were reptiles,All pterodactyls are dinosaurs,All pterodactyls were reptiles ,1500,NA,8770,Barbara,1,1,0,0
14_28,14,Pilot-3,28,1,phones,Valid Filler,Barbara,1,All phones can make calls ,All iPhones are phones ,All iPhones can make calls ,1500,NA,7814,Barbara,1,1,0,0
14_29,14,Pilot-3,29,1,newspapers,Polysemy,Dimatis,1,Some recyclables are newspapers,All newspapers employ reporters,Some recyclables employ reporters,1500,NA,9459,Dimatis,0,0,0,0
14_30,14,Pilot-3,30,0,buildings,Invalid Filler,Barbara*,1,All hotels are buildings ,All hospitals are buildings ,All hospitals are hotels ,1500,NA,7821,Barbara,0,1,0,0
14_31,14,Pilot-3,31,0,dates,Homonymy,Disamis,1,Some dates are prime numbers,All dates are opportunities for romance,Some opportunities for romance are prime numbers,1500,NA,8793,Disamis,0,1,0,0
14_32,14,Pilot-3,32,1,grapes,Valid Filler,Disamis,1,Some grapes are red ,All grapes are fruits ,Some fruits are red ,1500,NA,7626,Disamis,1,1,0,0
14_33,14,Pilot-3,33,1,swords,Valid Filler,Disamis,1,Some swords are decorative,All swords are weapons ,Some weapons are decorative ,1500,NA,7582,Disamis,1,1,0,0
14_34,14,Pilot-3,34,1,ponies,Valid Filler,Datisi,1,All ponies neigh,Some ponies are colts,Some colts neigh,1500,NA,8445,Datisi,1,1,0,0
14_35,14,Pilot-3,35,1,statues,Valid Filler,Datisi,1,All statues are sculptures,Some statues are bronzes,Some bronzes are sculptures,1500,NA,7982,Datisi,1,1,0,0
14_36,14,Pilot-3,36,1,widows,Valid Filler,Dimatis,1,Some mothers are widows ,All widows are women,Some women are mothers,1500,NA,9459,Dimatis,1,1,0,0
14_37,14,Pilot-3,37,1,steaks,Invalid Filler,Disamis*,1,Some steaks are filet mignons,All ribeyes are steaks,Some ribeyes are filet mignons,1500,NA,7756,Disamis,0,0,0,0
14_38,14,Pilot-3,38,1,clowns,Valid Filler,Darii,1,All clowns can juggle ,Some circus performers are clowns ,Some circus performers can juggle,1500,NA,8671,Darii,1,1,0,0
14_39,14,Pilot-3,39,0,injuries,Invalid Filler,Dimatis*,1,Some sunburns are injuries,All cases of frostbite are injuries,Some cases of frostbite are sunburns,1500,NA,8140,Dimatis,0,1,0,0
14_40,14,Pilot-3,40,0,thieves,Invalid Filler,Dimatis*,1,Some children are thieves,All mob bosses are thieves,Some mob bosses are children,1500,NA,7888,Dimatis,0,1,0,0
14_41,14,Pilot-3,41,0,tracks,Homonymy,Darii,1,All tracks are prints left by animals,Some race courses are tracks ,Some race courses are prints left by animals,1500,NA,8069,Darii,0,1,0,0
14_42,14,Pilot-3,42,0,stones,Invalid Filler,Datisi*,1,All pebbles are stones,Some stones are boulders,Some boulders are pebbles,1500,NA,9373,Datisi,0,1,0,0
14_43,14,Pilot-3,43,0,columns,Homonymy,Datisi,1,All columns are architectural,Some columns are gossip articles,Some gossip articles are architectural,1500,NA,7851,Datisi,0,1,0,0
14_44,14,Pilot-3,44,0,movements,Homonymy,Barbara,1,All movements aim for social change,All reflexes are movements,All reflexes aim for social change,1500,NA,8115,Barbara,0,1,0,0
14_45,14,Pilot-3,45,0,organs,Invalid Filler,Barbara*,1,All hearts are organs ,All lungs are organs ,All lungs are hearts,1500,NA,7748,Barbara,0,1,0,0
14_46,14,Pilot-3,46,0,actors,Invalid Filler,Datisi*,1,All male leads are actors,Some actors are women,Some women are male leads,1500,NA,7671,Datisi,0,1,0,0
14_47,14,Pilot-3,47,0,magazines,Polysemy,Darii,1,All magazines are flammable,Some subscriptions are magazines,Some subscriptions are flammable,1500,NA,8639,Darii,0,1,0,0
14_48,14,Pilot-3,48,1,liars,Valid Filler,Dimatis,1,Some criminals are liars ,All liars are humans,Some humans are criminals ,1500,NA,8670,Dimatis,1,1,0,0
14_49,14,Pilot-3,49,0,classes,Polysemy,Disamis,1,Some classes are an hour long,All classes are groups of students,Some groups of students are an hour long,1500,NA,11248,Disamis,0,1,0,0
14_50,14,Pilot-3,50,0,negotiations,Valid Filler,Barbara,1,All negotiations aim to reach agreement  ,All union bargainings are negotiations ,All union bargainings aim to reach agreement,1500,NA,8609,Barbara,1,0,0,0
14_51,14,Pilot-3,51,1,antiques,Invalid Filler,Darii*,1,All medieval manuscripts are antiques ,Some pieces of jewelry are antiques ,Some pieces of jewelry are medieval manuscripts,1500,NA,10397,Darii,0,0,0,0
14_52,14,Pilot-3,52,0,books,Polysemy,Dimatis,1,Some doorstops are books,All books are intellectual property,Some intellectual property is a doorstop,1500,NA,8545,Dimatis,0,1,0,0
